,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,South,West,North-East,North,East
2019-05-03,7.481944444444443,288.6666666666667,4.123611111111109,19.136805555555554,17.888194444444437,50.75694444444444,18.05624999999999,17.745138888888892,,,,5.707638888888888,4.471527777777777,1181.7083333333333,0.0,0,1,0,0,0,0,0,0
2019-05-04,4.407638888888891,216.4375,2.3020833333333335,27.664583333333333,16.218055555555566,58.201388888888886,16.39444444444445,16.05277777777779,,,,3.4659722222222213,2.575000000000001,1164.7708333333333,0.0,0,0,1,0,0,0,0,0
2019-05-05,3.7493055555555546,117.72222222222223,1.993750000000001,19.259722222222212,23.400694444444447,22.1875,23.557638888888874,23.247222222222224,,,,2.9,2.1840277777777777,1182.4652777777778,0.0,1,0,0,0,0,0,0,0
2019-05-06,6.117730496453903,206.68085106382978,3.4120567375886535,18.68156028368795,24.79375,25.569444444444443,24.99791666666667,24.6,,,,4.667375886524824,3.7531914893617015,1182.354609929078,0.0,0,0,1,0,0,0,0,0
2019-05-07,9.17222222222222,283.1666666666667,4.832638888888888,21.39305555555556,14.961111111111109,71.00694444444444,15.127083333333331,14.822222222222223,,,,6.78611111111111,5.213194444444444,1182.9375,0.0,0,1,0,0,0,0,0,0
2019-05-08,7.220833333333333,290.5,3.959722222222224,22.22500000000001,13.65694444444445,68.70833333333333,13.794444444444444,13.521527777777782,,,,5.518749999999996,4.279166666666668,1166.173611111111,0.0,0,1,0,0,0,0,0,0
2019-05-09,6.995744680851059,305.1276595744681,3.84468085106383,21.651773049645392,12.746099290780135,69.46808510638297,12.895035460992911,12.590780141843974,,,,5.436170212765959,4.219858156028368,1167.1985815602836,0.0,0,1,0,0,0,0,0,0
2019-05-10,4.950000000000001,275.4236111111111,2.6645833333333333,26.802777777777788,13.81736111111111,64.72222222222223,13.982638888888886,13.646527777777784,,,,3.907638888888887,2.9624999999999986,1182.0416666666667,0.0,0,1,0,0,0,0,0,0
2019-05-11,3.6812500000000004,229.94444444444446,2.059027777777777,21.152083333333323,18.609027777777772,34.625,18.76944444444444,18.44444444444444,,,,2.939583333333335,2.2749999999999995,1181.361111111111,0.0,0,0,1,0,0,0,0,0
2019-05-12,5.684722222222224,214.00694444444446,3.270138888888888,17.755555555555556,23.472222222222225,23.02777777777778,23.606249999999996,23.342361111111114,,,,4.40486111111111,3.47986111111111,1182.2222222222222,0.0,0,0,1,0,0,0,0,0
