,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,North,East,West,South
2019-06-09,4.531250000000003,192.55555555555554,3.514583333333335,8.311111111111114,23.296527777777783,81.47916666666667,23.4236111111111,23.175000000000015,,,,4.0354166666666655,3.667361111111113,1166.4583333333333,0.0,0,0,0,1,0,0,0,0
2019-06-10,3.974305555555555,119.31944444444444,3.12777777777778,7.261111111111114,24.45208333333334,72.02083333333333,24.63819444444445,24.277777777777768,,,,3.6312499999999996,3.3138888888888904,1166.0972222222222,0.0,0,1,0,0,0,0,0,0
2019-06-11,5.288811188811189,117.17482517482517,4.265734265734267,8.971328671328672,25.746853146853148,71.02097902097903,25.91328671328672,25.57622377622376,,,,4.8545454545454545,4.474825174825176,1183.7902097902097,0.0,0,1,0,0,0,0,0,0
2019-06-12,4.986111111111108,274.7361111111111,3.9736111111111123,7.452083333333331,24.947916666666668,84.09027777777777,25.0736111111111,24.829166666666673,,,,4.527083333333334,4.159027777777779,1182.7847222222222,0.0,0,0,1,0,0,0,0,0
2019-06-13,5.135416666666668,263.3541666666667,3.9326388888888886,9.152777777777779,24.55694444444444,78.25,24.711805555555557,24.40902777777778,,,,4.543055555555557,4.0798611111111125,1181.1180555555557,0.0,0,0,0,1,0,0,0,0
2019-06-14,5.411111111111111,200.46527777777777,4.243055555555555,8.402777777777771,24.535416666666663,78.88888888888889,24.698611111111116,24.39305555555556,,,,4.874305555555555,4.393055555555557,1182.0625,0.0,0,0,0,1,0,0,0,0
2019-06-15,4.880555555555556,185.74305555555554,3.8715277777777763,8.77430555555555,24.355555555555565,80.75694444444444,24.504861111111115,24.21111111111111,,,,4.389583333333335,4.018055555555554,1181.5833333333333,0.0,0,0,0,1,0,0,0,0
2019-06-16,4.573611111111109,197.32638888888889,3.663194444444445,7.699305555555559,25.222916666666663,78.48611111111111,25.3826388888889,25.07708333333333,,,,4.140972222222223,3.8250000000000006,1183.1458333333333,0.0,0,0,0,1,0,0,0,0
2019-06-17,4.556944444444446,250.89583333333334,3.4090277777777755,9.873611111111112,25.627777777777755,78.0625,25.79930555555556,25.476388888888895,,,,4.024305555555556,3.5701388888888874,1182.173611111111,0.0,0,0,0,1,0,0,0,0
2019-06-18,4.112500000000001,202.61111111111111,3.0604166666666677,9.827083333333336,25.09444444444445,81.35416666666667,25.241666666666678,24.94791666666665,,,,3.601388888888889,3.2062500000000007,1181.8680555555557,0.0,0,0,0,1,0,0,0,0
2019-06-19,3.7256944444444446,254.29166666666666,2.8465277777777773,9.920833333333334,25.29652777777776,75.21527777777777,25.46458333333335,25.14722222222221,,,,3.3312500000000007,2.9736111111111105,1165.5277777777778,0.0,0,0,0,1,0,0,0,0
