,Grad_4,Grad_3,Grad_2,Grad,Grad_1,TDmax_4,TD_4,TDmin_4,TDmax_3,TD_3,TDmin_3,TDmax_2,TD_2,TDmin_2,TDmax_1,TD_1,TDmin_1,TDmax,TD,TDmin
2016-03-27,251.20138888888889,200.47916666666663,218.63888888888889,192.1875,105.38194444444444,18.525,18.353472222222226,18.171527777777786,22.36458333333333,22.20347222222223,22.05694444444445,18.255555555555567,18.071527777777774,17.89652777777778,19.764583333333352,19.587500000000006,19.429166666666678,15.26944444444445,15.114583333333336,14.987499999999995
2016-05-03,325.5763888888889,297.3819444444445,301.77777777777777,234.04861111111111,325.5138888888889,18.351388888888877,18.16180555555555,17.991666666666664,20.266666666666648,20.06597222222221,19.84930555555556,23.759722222222237,23.54444444444445,23.32222222222221,20.35416666666668,20.204166666666666,20.065972222222236,22.98194444444445,22.73194444444445,22.49305555555555
2019-07-23,324.77777777777777,322.59722222222223,318.6319444444445,339.2167832167832,348.6338028169015,25.537499999999994,25.36875,25.19236111111113,25.36527777777779,25.192361111111122,25.01250000000001,25.71736111111111,25.563194444444452,25.41319444444447,26.24722222222221,26.11319444444447,25.961805555555557,26.879166666666666,26.68888888888887,26.49861111111111
2018-07-12,361.2867647058823,362.1470588235293,345.9860139860141,305.84722222222223,342.1875,25.672222222222214,25.460416666666656,25.25625,25.75694444444445,25.574305555555558,25.398611111111112,25.453146853146862,25.28951048951048,25.13846153846153,25.897916666666674,25.709722222222233,25.536805555555574,25.346527777777766,25.15625000000001,24.97986111111112
2016-12-05,30.29166666666667,72.21527777777777,30.88194444444445,121.16666666666669,110.38888888888887,14.010416666666668,13.820833333333333,13.629166666666665,14.721527777777787,14.53125,14.32777777777777,13.768055555555568,13.650694444444444,13.542361111111116,15.383333333333333,15.25902777777778,15.129861111111117,16.131944444444443,16.003472222222214,15.894444444444439
2016-11-27,133.90972222222223,147.61805555555554,147.81944444444446,144.875,152.27083333333334,16.220138888888883,16.144444444444453,16.07291666666667,14.790972222222226,14.709722222222226,14.62986111111111,13.229166666666671,13.113194444444444,12.997916666666665,13.599305555555553,13.494444444444447,13.385416666666664,15.320138888888893,15.220833333333335,15.11319444444445
2019-09-17,263.25,235.00694444444446,207.46527777777771,0.0,133.52212389380531,25.285416666666674,25.149999999999995,25.007638888888888,25.270833333333353,25.095833333333324,24.936805555555555,24.53333333333335,24.36180555555556,24.181249999999995,24.98071428571429,24.841428571428576,24.71285714285716,25.53541666666666,25.37361111111112,25.22430555555555
2017-09-18,240.75,233.6458333333333,237.65277777777771,254.4265734265734,267.40277777777777,26.63125000000002,26.497916666666693,26.36041666666668,25.90972222222224,25.77986111111112,25.65,24.7527777777778,24.57500000000001,24.39236111111109,24.62916666666668,24.42708333333333,24.28111888111887,21.977551020408164,21.82653061224489,21.67959183673469
2016-11-12,163.94405594405598,164.13286713286712,121.91666666666669,141.13194444444446,111.90277777777777,19.74097222222222,19.580555555555552,19.416666666666664,24.509027777777785,24.35694444444444,24.20486111111111,23.269444444444442,23.05277777777779,22.844444444444445,19.95763888888888,19.85277777777777,19.761111111111113,20.01944444444446,19.88125000000001,19.74236111111109
2018-07-25,291.1388888888889,330.47222222222223,350.1702127659574,319.90277777777777,331.958041958042,25.98402777777777,25.813194444444445,25.659722222222207,26.140972222222214,26.019444444444428,25.878472222222207,26.79722222222223,26.656944444444427,26.52499999999999,27.550694444444442,27.363194444444442,27.181249999999995,29.59513888888889,29.332638888888887,29.09375
2017-07-14,342.8695652173913,300.46527777777777,315.5069444444445,358.6474820143885,341.4388489208633,27.675,27.48194444444445,27.279166666666665,28.02847222222221,27.84930555555556,27.6826388888889,27.533333333333346,27.35208333333333,27.173611111111107,26.91875000000001,26.746527777777786,26.585416666666678,27.77916666666665,27.56388888888889,27.32916666666666
2016-05-08,252.38194444444446,332.6319444444445,241.125,277.5416666666667,306.9513888888889,19.981944444444444,19.787500000000005,19.61388888888889,19.35277777777778,19.17361111111111,19.01041666666666,18.78194444444445,18.615972222222226,18.472916666666666,18.706249999999994,18.55416666666666,18.392361111111114,18.22638888888891,18.049305555555566,17.878472222222214
2018-07-28,331.958041958042,319.90277777777777,314.4513888888889,278.4583333333333,288.9166666666667,27.550694444444442,27.363194444444442,27.181249999999995,29.59513888888889,29.332638888888887,29.09375,26.062500000000004,25.88958333333333,25.71250000000001,25.832638888888887,25.66250000000001,25.49791666666667,25.99583333333333,25.82500000000001,25.665277777777767
2017-02-26,108.69444444444444,185.69444444444446,200.97222222222226,208.81944444444446,207.97916666666663,11.993749999999995,11.87291666666666,11.751388888888883,13.234722222222222,13.090972222222225,12.949305555555556,13.117361111111107,12.952083333333334,12.796527777777774,16.06180555555555,15.877777777777775,15.702083333333334,16.529861111111092,16.327777777777786,16.127083333333328
2017-07-03,365.0921985815603,354.4326241134752,356.25531914893617,342.9148936170213,334.709219858156,25.33541666666666,25.101388888888913,24.86180555555555,25.844444444444427,25.66319444444445,25.49583333333333,26.718055555555573,26.509027777777785,26.30833333333333,28.17916666666665,27.97708333333333,27.77569444444445,29.828472222222203,29.60833333333333,29.38125
2017-09-09,288.2083333333333,296.1458333333333,292.0138888888889,270.0555555555556,282.9583333333333,26.59444444444444,26.43125000000001,26.273611111111112,25.74513888888889,25.586805555555557,25.43472222222221,25.496527777777768,25.303472222222208,25.110416666666666,25.727777777777767,25.59097222222222,25.45486111111111,26.46875000000001,26.33541666666667,26.21875000000001
