,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-West,East,North,South-East,West,South
2019-04-10,3.796527777777778,151.01388888888889,2.2763888888888903,20.532638888888883,20.276388888888892,41.020833333333336,20.472916666666666,20.08055555555556,,,,3.15763888888889,2.5409722222222215,1182.0277777777778,0.0,0,1,0,0,0,0,0,0
2019-04-11,4.16388888888889,110.71527777777777,2.6180555555555554,13.027083333333325,18.475,41.333333333333336,18.725694444444443,18.229861111111113,,,,3.5000000000000018,2.8444444444444428,1182.1597222222222,0.0,0,1,0,0,0,0,0,0
2019-04-12,4.322916666666668,98.10416666666667,2.8541666666666665,12.859722222222222,18.980555555555558,44.201388888888886,19.236805555555552,18.729861111111102,,,,3.6854166666666663,3.102083333333333,1166.0208333333333,0.0,0,1,0,0,0,0,0,0
2019-04-13,4.938888888888887,151.47916666666666,3.320138888888887,13.198611111111106,23.737499999999997,34.90277777777778,24.014583333333338,23.432638888888892,,,,4.209722222222223,3.5694444444444438,1182.5972222222222,0.0,0,1,0,0,0,0,0,0
2019-04-14,8.573611111111111,167.28472222222223,5.908333333333335,10.425694444444447,26.520138888888887,25.65972222222222,26.754861111111108,26.29652777777777,,,,7.215972222222222,6.299305555555556,1180.7430555555557,0.0,0,1,0,0,0,0,0,0
2019-04-15,3.1937500000000005,107.66666666666667,2.054166666666667,15.118750000000002,19.261111111111106,59.96527777777778,19.395833333333332,19.12777777777778,,,,2.7354166666666666,2.297916666666667,1181.4097222222222,0.0020833333333333337,0,1,0,0,0,0,0,0
2019-04-16,3.904861111111111,160.45138888888889,2.4090277777777764,17.438888888888883,19.84583333333332,61.6875,20.05069444444445,19.66041666666667,,,,3.299305555555554,2.6958333333333337,1181.3402777777778,0.0006944444444444445,0,1,0,0,0,0,0,0
2019-04-17,4.3743055555555586,203.86111111111111,2.7326388888888875,17.715277777777782,18.870833333333326,47.28472222222222,19.09791666666667,18.641666666666666,,,,3.672916666666668,3.0229166666666676,1181.4027777777778,0.0,0,0,1,0,0,0,0,0
2019-04-18,3.918750000000003,198.5,2.2576388888888883,22.612500000000004,17.994444444444454,46.041666666666664,18.26458333333333,17.75347222222222,,,,3.263194444444446,2.559722222222222,1165.5347222222222,0.0,0,0,1,0,0,0,0,0
2019-04-19,5.050000000000001,239.375,3.1284722222222197,13.542361111111113,18.093750000000014,35.951388888888886,18.337499999999995,17.859722222222214,,,,4.213194444444443,3.4416666666666647,1182.7569444444443,0.0,0,0,1,0,0,0,0,0
2019-04-20,4.416666666666668,231.43055555555554,2.6437500000000007,17.868750000000002,17.72708333333333,43.888888888888886,17.99236111111111,17.474999999999998,,,,3.7368055555555557,2.988194444444446,1167.4652777777778,0.0,0,0,1,0,0,0,0,0
2019-04-21,6.825694444444446,261.71527777777777,4.490277777777776,12.754861111111106,16.191666666666666,45.076388888888886,16.461805555555557,15.941666666666666,,,,5.73263888888889,4.803472222222221,1182.4027777777778,0.0,0,0,1,0,0,0,0,0
2019-04-22,4.149305555555557,213.25694444444446,2.54375,20.8375,16.115972222222226,42.458333333333336,16.3736111111111,15.858333333333333,,,,3.479166666666667,2.8409722222222205,1182.9791666666667,0.0,0,0,1,0,0,0,0,0
2019-04-23,4.20625,100.00694444444444,2.7416666666666676,11.296527777777776,16.833333333333325,38.423611111111114,17.07013888888888,16.61111111111111,,,,3.5513888888888894,2.956250000000001,1166.4791666666667,0.0,1,0,0,0,0,0,0,0
