,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,South,West,South-East,North-East,North,East
2019-05-25,5.043749999999998,200.625,3.0506944444444444,18.334722222222226,27.5638888888889,55.13194444444444,27.75763888888889,27.362499999999997,320.2708333333333,,,4.022222222222225,3.3604166666666657,1165.8819444444443,0.0,0,1,0,0,0,0,0,0
2019-05-26,4.311111111111112,205.09722222222223,2.8256944444444447,14.652083333333334,24.103472222222234,64.81944444444444,24.29861111111112,23.914583333333336,347.2986111111111,,,3.5708333333333337,3.05763888888889,1183.076388888889,0.0,0,1,0,0,0,0,0,0
2019-05-27,3.612500000000001,192.73611111111111,2.3506944444444446,14.277777777777779,25.126388888888886,65.15277777777777,25.30763888888889,24.95069444444444,331.4375,,,2.926388888888888,2.538194444444445,1181.5694444444443,0.0,0,1,0,0,0,0,0,0
2019-05-28,3.2326388888888893,165.43055555555554,2.08888888888889,14.765277777777783,26.820833333333336,71.54861111111111,26.997916666666654,26.644444444444446,325.3888888888889,,,2.6555555555555546,2.284722222222222,1182.9652777777778,0.0,1,0,0,0,0,0,0,0
2019-05-29,3.8256944444444443,178.33333333333334,2.56875,13.475694444444448,28.57499999999999,61.75,28.770833333333332,28.37361111111112,337.72222222222223,,,3.193750000000001,2.779166666666668,1183.3333333333333,0.0,0,1,0,0,0,0,0,0
2019-05-30,3.593749999999999,182.84027777777777,2.4250000000000007,12.83263888888889,30.129861111111104,44.25,30.375,29.892361111111104,333.05555555555554,,,2.9756944444444446,2.6250000000000004,1181.701388888889,0.0,0,1,0,0,0,0,0,0
2019-05-31,4.462500000000001,189.13194444444446,2.8659722222222226,15.22083333333334,30.773611111111116,38.3125,30.987499999999986,30.564583333333317,308.375,,,3.5708333333333337,3.120138888888889,1183.5833333333333,0.0,0,1,0,0,0,0,0,0
2019-06-01,5.592361111111109,205.08333333333334,3.4506944444444456,14.630555555555556,29.517361111111104,49.47222222222222,29.709722222222208,29.30138888888888,333.63194444444446,,,4.452083333333334,3.715972222222223,1181.8541666666667,0.0,0,1,0,0,0,0,0,0
2019-06-02,4.539436619718309,181.5211267605634,2.9147887323943658,15.106338028169016,27.578169014084498,67.49295774647888,27.774647887323958,27.390845070422536,327.0845070422535,,,3.7485915492957727,3.18450704225352,1178.4507042253522,0.0,0,1,0,0,0,0,0,0
2019-06-03,4.213194444444444,182.04166666666666,2.746527777777777,14.77222222222222,29.052083333333346,62.50694444444444,29.250694444444427,28.862499999999994,328.8333333333333,,,3.4930555555555536,2.9854166666666675,1166.7291666666667,0.0,1,0,0,0,0,0,0,0
2019-06-04,3.8583333333333325,182.59722222222223,2.535416666666667,15.638888888888893,29.49583333333332,50.71527777777778,29.709722222222233,29.290277777777767,313.3611111111111,,,3.2388888888888876,2.7888888888888888,1182.8125,0.0,0,1,0,0,0,0,0,0
2019-06-05,3.147916666666666,148.13194444444446,2.0263888888888877,15.80902777777778,29.99571428571427,43.99285714285714,30.197857142857142,29.783571428571427,298.3541666666667,,,2.560416666666666,2.2027777777777766,1181.951388888889,0.0,1,0,0,0,0,0,0,0
2019-06-06,2.7229166666666673,182.45833333333334,1.6805555555555556,20.190972222222236,30.450000000000014,46.979166666666664,30.649305555555557,30.246527777777786,150.88194444444446,,,2.2937499999999984,1.9354166666666666,1181.7777777777778,0.0,0,1,0,0,0,0,0,0
2019-06-07,3.97013888888889,172.46527777777777,2.380555555555556,18.286111111111104,30.781944444444434,42.34722222222222,30.971527777777794,30.596527777777794,322.8888888888889,,,3.2069444444444444,2.6680555555555556,1183.0416666666667,0.0,0,1,0,0,0,0,0,0
2019-06-08,4.888194444444445,218.09027777777777,2.8743055555555554,18.42013888888889,28.231250000000003,61.958333333333336,28.375694444444452,28.09444444444445,292.5138888888889,,,3.828472222222225,3.136111111111111,1166.625,0.0,0,1,0,0,0,0,0,0
2019-06-09,4.58125,219.09722222222223,2.6708333333333334,19.91666666666666,27.945833333333347,55.65277777777778,28.08472222222221,27.80972222222222,307.6111111111111,,,3.6118055555555557,2.9444444444444438,1182.4027777777778,0.0,0,1,0,0,0,0,0,0
2019-06-10,3.6875,180.77777777777777,2.3638888888888894,14.971527777777775,27.220138888888894,49.166666666666664,27.411111111111115,27.015277777777786,351.97222222222223,,,3.0243055555555554,2.597222222222223,1182.2222222222222,0.0,0,1,0,0,0,0,0,0
2019-06-11,3.3328671328671318,211.5734265734266,2.1300699300699306,16.597202797202794,28.720279720279713,43.93006993006993,28.93076923076924,28.5160839160839,338.3076923076923,,,2.7398601398601397,2.3475524475524474,1182.4475524475524,0.0,0,1,0,0,0,0,0,0
2019-06-12,4.593055555555556,210.96527777777777,2.6631944444444455,18.678472222222222,28.493055555555557,50.166666666666664,28.692361111111104,28.3,330.15972222222223,,,3.5736111111111137,2.950000000000001,1166.1458333333333,0.0,0,1,0,0,0,0,0,0
2019-06-13,5.293749999999999,192.9375,3.327777777777776,14.215972222222216,27.063888888888883,60.99305555555556,27.21319444444444,26.91736111111112,266.81944444444446,,,4.220138888888891,3.5881944444444422,1182.388888888889,0.0,0,1,0,0,0,0,0,0
2019-06-14,4.338194444444444,197.3125,2.6736111111111107,18.086805555555557,27.187500000000014,61.173611111111114,27.375694444444463,27.02083333333334,308.6388888888889,,,3.534722222222222,2.9708333333333337,1182.4097222222222,0.0,0,1,0,0,0,0,0,0
2019-06-15,4.822916666666668,216.84027777777777,2.9861111111111116,15.84861111111111,27.17569444444445,63.43055555555556,27.350694444444446,27.01805555555557,330.18055555555554,,,3.9194444444444434,3.258333333333333,1182.486111111111,0.0,0,1,0,0,0,0,0,0
2019-06-16,4.122916666666668,221.55555555555554,2.547916666666667,15.177083333333336,28.05208333333334,60.74305555555556,28.24652777777777,27.881249999999998,339.6458333333333,,,3.298611111111112,2.8020833333333326,1183.4166666666667,0.0,0,1,0,0,0,0,0,0
2019-06-17,4.874305555555556,221.25,2.867361111111111,17.172222222222217,28.474305555555556,58.0625,28.634027777777778,28.310416666666686,320.0416666666667,,,3.873611111111112,3.1604166666666655,1181.3958333333333,0.0,0,1,0,0,0,0,0,0
2019-06-18,4.747222222222221,220.4375,2.854861111111111,15.736805555555545,28.275694444444454,60.736111111111114,28.429166666666674,28.113194444444446,334.9236111111111,,,3.8451388888888878,3.111111111111113,1166.0277777777778,0.0,0,1,0,0,0,0,0,0
2019-06-19,4.482638888888889,204.58333333333334,2.7340277777777775,15.992361111111112,27.85833333333333,62.263888888888886,28.022916666666664,27.686111111111114,324.7916666666667,,,3.5784722222222234,2.9868055555555553,1165.5069444444443,0.0,0,1,0,0,0,0,0,0
