,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,West,North,North-East,East,South-East,South
2019-05-21,3.5076388888888896,176.38194444444446,2.0847222222222226,18.00277777777778,23.194444444444446,62.59027777777778,23.43263888888889,22.94513888888889,,,,2.8270833333333334,2.284027777777778,1165.2291666666667,0.0,0,1,0,0,0,0,0,0
2019-05-22,3.5041666666666678,167.27083333333334,2.163194444444444,15.56944444444445,27.166666666666664,32.291666666666664,27.459722222222215,26.866666666666656,,,,2.877083333333332,2.3680555555555536,1181.826388888889,0.0,0,1,0,0,0,0,0,0
2019-05-23,5.505555555555554,131.83333333333334,3.5243055555555554,13.953472222222219,33.31319444444444,16.694444444444443,33.69305555555556,32.956250000000004,,,,4.534027777777778,3.815972222222223,1183.2847222222222,0.0,1,0,0,0,0,0,0,0
2019-05-24,4.133333333333334,202.47916666666666,2.556250000000002,18.299305555555552,31.248611111111124,30.979166666666668,31.578472222222224,30.897916666666667,,,,3.3534722222222215,2.7958333333333347,1182.9722222222222,0.0,0,1,0,0,0,0,0,0
2019-05-25,3.419444444444445,233.20138888888889,1.8097222222222216,20.575000000000006,23.212500000000006,70.34722222222223,23.44027777777778,22.965972222222227,,,,2.636805555555556,2.0125000000000006,1165.861111111111,0.0,0,1,0,0,0,0,0,0
2019-05-26,4.14722222222222,177.53472222222223,2.3888888888888875,17.860416666666662,21.199305555555547,66.89583333333333,21.43472222222222,20.958333333333336,,,,3.198611111111111,2.599305555555555,1182.5069444444443,0.0,0,1,0,0,0,0,0,0
2019-05-27,3.872222222222222,206.24305555555554,2.2916666666666687,16.130555555555553,21.413194444444432,68.61111111111111,21.665277777777785,21.18472222222223,,,,3.0743055555555565,2.5,1182.0833333333333,0.0,0,1,0,0,0,0,0,0
2019-05-28,3.393055555555556,196.22222222222223,1.7868055555555555,22.884722222222216,23.28055555555555,71.70138888888889,23.50277777777778,23.063888888888897,,,,2.675,1.9868055555555566,1182.013888888889,0.0,0,1,0,0,0,0,0,0
2019-05-29,3.6444444444444457,184.72222222222223,2.171527777777778,18.947916666666664,24.402777777777782,67.90972222222223,24.656250000000007,24.161111111111115,,,,2.9597222222222226,2.381944444444444,1182.3680555555557,0.0,0,1,0,0,0,0,0,0
2019-05-30,3.7666666666666666,195.11111111111111,2.2090277777777776,17.875000000000007,25.970833333333335,56.86805555555556,26.240972222222236,25.71875,,,,2.9812500000000006,2.40972222222222,1165.7291666666667,0.0,0,1,0,0,0,0,0,0
