,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,East,North-West,North-East,North,South-East,West,South,South-West
2019-04-15,,,,,16.11874999999999,88.55555555555556,16.256944444444443,15.972916666666663,,,,,,,0.015277777777777779,1,0,0,0,0,0,0,0,0
2019-04-16,,,,,15.993750000000002,88.82638888888889,16.132638888888888,15.859722222222217,,,,,,,0.009722222222222222,1,0,0,0,0,0,0,0,0
2019-04-17,,,,,15.82777777777777,83.24305555555556,16.00486111111111,15.635416666666657,,,,,,,0.0020833333333333337,1,0,0,0,0,0,0,0,0
2019-04-18,,,,,15.727777777777781,77.02083333333333,15.92569444444445,15.547916666666673,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-19,,,,,15.145138888888896,77.05555555555556,15.352083333333338,14.930555555555555,,,,,,,0.010416666666666666,1,0,0,0,0,0,0,0,0
2019-04-20,,,,,15.662500000000003,75.70138888888889,15.865277777777793,15.477777777777781,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-21,,,,,14.316666666666666,65.6875,14.577083333333327,14.072222222222223,,,,,,,0.029166666666666667,1,0,0,0,0,0,0,0,0
2019-04-22,,,,,15.229166666666673,68.00694444444444,15.43680555555555,15.030555555555557,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-23,,,,,14.90138888888889,74.33333333333333,15.11111111111111,14.697222222222226,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-24,,,,,16.99861111111111,64.84027777777777,17.259027777777774,16.761805555555554,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-25,,,,,19.03263888888889,61.28472222222222,19.274305555555557,18.804166666666674,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-26,,,,,20.818749999999998,57.270833333333336,21.067361111111115,20.58472222222223,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-27,,,,,21.070833333333344,60.763888888888886,21.290972222222216,20.857638888888882,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-28,,,,,18.206249999999994,78.78472222222223,18.405555555555562,17.992361111111116,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-29,,,,,22.186111111111106,59.763888888888886,22.412499999999998,21.943750000000016,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-30,,,,,19.76527777777777,81.0,19.99375000000001,19.56111111111112,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-01,,,,,23.408450704225352,59.00704225352113,23.67816901408451,23.148591549295787,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-02,,,,,23.340277777777786,64.5,23.562499999999996,23.12430555555556,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-03,,,,,19.485416666666673,79.35416666666667,19.692361111111122,19.283333333333346,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-04,,,,,17.56388888888889,78.34027777777777,17.80555555555555,17.320138888888888,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-05,,,,,21.80208333333333,63.50694444444444,22.109027777777772,21.511805555555558,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-06,,,,,24.076223776223777,62.97902097902098,24.302097902097902,23.834965034965045,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-07,,,,,19.67013888888889,75.82638888888889,19.83680555555555,19.50625000000001,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-08,,,,,17.70833333333334,74.38888888888889,17.895138888888887,17.511805555555558,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-09,,,,,17.11285714285715,71.15714285714286,17.323571428571437,16.900714285714287,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-10,,,,,16.89097222222221,70.99305555555556,17.12222222222222,16.677777777777784,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-11,,,,,17.650000000000002,72.5625,17.89791666666667,17.411805555555564,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-12,,,,,20.230555555555544,65.77083333333333,20.49027777777778,19.99444444444445,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-13,,,,,21.61736111111112,57.625,21.90416666666667,21.35347222222222,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-14,,,,,21.24236111111112,62.145833333333336,21.50833333333335,20.966666666666665,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-15,,,,,20.808333333333323,78.53472222222223,21.03194444444444,20.586111111111116,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-16,,,,,22.83194444444443,68.30555555555556,23.106250000000003,22.5763888888889,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-17,,,,,22.257638888888884,73.99305555555556,22.49027777777778,22.01458333333334,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-18,,,,,20.859722222222217,69.93055555555556,21.10486111111111,20.62152777777779,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-19,,,,,19.46388888888888,79.20138888888889,19.69027777777777,19.24999999999999,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-20,,,,,21.20347222222223,84.02083333333333,21.377777777777776,21.029861111111117,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-21,,,,,22.675694444444453,78.03472222222223,22.895138888888898,22.45138888888889,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-22,,,,,23.87222222222223,63.71527777777778,24.120138888888878,23.627777777777773,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-23,,,,,28.234722222222224,44.861111111111114,28.53125,27.94791666666667,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-24,,,,,28.646527777777766,48.65277777777778,28.897916666666674,28.40694444444445,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-25,,,,,23.019444444444442,81.38888888888889,23.18750000000001,22.84652777777778,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-26,,,,,20.788194444444446,78.97222222222223,21.005555555555553,20.567361111111108,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-27,,,,,21.694444444444443,82.11805555555556,21.889583333333327,21.50277777777778,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-28,,,,,23.69305555555555,82.22222222222223,23.865972222222226,23.525000000000006,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-29,,,,,24.084722222222226,80.25694444444444,24.322222222222226,23.843749999999993,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-30,,,,,25.79166666666667,71.54166666666667,25.995138888888874,25.572222222222216,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-31,,,,,25.743055555555557,79.86805555555556,25.921527777777772,25.568055555555564,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-01,,,,,24.80347222222222,82.66666666666667,24.99027777777778,24.623611111111117,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-02,,,,,24.444755244755257,84.84615384615384,24.62797202797203,24.26153846153846,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-03,,,,,24.880281690140833,80.76760563380282,25.060563380281685,24.699295774647883,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-04,,,,,25.195138888888877,70.58333333333333,25.376388888888886,25.028472222222213,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-05,,,,,27.163194444444446,59.11805555555556,27.3875,26.945138888888888,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-06,,,,,25.521527777777788,68.07638888888889,25.672222222222214,25.375694444444445,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-07,,,,,24.910416666666663,75.96527777777777,25.088194444444454,24.725694444444454,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-08,,,,,23.56319444444444,80.0625,23.70138888888887,23.43749999999999,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-09,,,,,23.129861111111108,77.30555555555556,23.295138888888896,22.967361111111114,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-10,,,,,24.373611111111114,65.28472222222223,24.643055555555563,24.121527777777786,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-11,,,,,25.773239436619715,56.75352112676056,26.00281690140844,25.541549295774637,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-12,,,,,24.334722222222226,74.00694444444444,24.5277777777778,24.138888888888896,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-13,,,,,24.418750000000006,73.3125,24.60902777777778,24.246527777777782,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-14,,,,,24.373611111111124,73.55555555555556,24.570138888888877,24.188888888888897,,,,,,,0.0,1,0,0,0,0,0,0,0,0
