,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,East,North-East,North,South-East,West,South
2019-03-22,3.088888888888888,215.09722222222223,2.310416666666666,11.45694444444444,18.732638888888882,84.04861111111111,18.92986111111111,18.54722222222222,,,,2.8131944444444454,2.5041666666666655,1181.8819444444443,,0,1,0,0,0,0,0,0
2019-03-23,2.2013888888888884,193.60416666666666,1.4798611111111113,16.00833333333333,19.33541666666668,82.07638888888889,19.52083333333333,19.16458333333334,,,,1.9784722222222217,1.7000000000000008,1182.3958333333333,,0,1,0,0,0,0,0,0
2019-03-24,4.370833333333334,201.67361111111111,3.2125,13.156250000000005,18.4826388888889,79.47222222222223,18.630555555555553,18.336805555555557,,,,3.96875,3.53263888888889,1166.326388888889,,0,1,0,0,0,0,0,0
2019-03-25,4.790972222222222,207.79166666666666,3.4895833333333335,14.128472222222223,14.99375000000001,85.01388888888889,15.136805555555561,14.845833333333324,,,,4.301388888888888,3.805555555555555,1166.298611111111,,0,1,0,0,0,0,0,0
2019-03-26,3.5256944444444454,214.45138888888889,2.6055555555555556,14.676388888888896,15.944444444444436,78.86111111111111,16.108333333333327,15.793749999999992,,,,3.1895833333333328,2.8472222222222197,1165.9583333333333,,0,1,0,0,0,0,0,0
2019-03-27,3.453472222222223,211.91666666666666,2.4729166666666664,13.206249999999995,16.270138888888887,87.29166666666667,16.44166666666666,16.122916666666665,,,,3.084722222222222,2.727777777777779,1182.9305555555557,,0,1,0,0,0,0,0,0
2019-03-28,3.2173611111111127,220.30555555555554,2.4284722222222226,10.147916666666667,18.07430555555555,84.92361111111111,18.195833333333336,17.963888888888892,,,,2.9472222222222237,2.650694444444443,1182.2083333333333,,0,1,0,0,0,0,0,0
2019-03-29,3.9979166666666663,189.08333333333334,2.822222222222223,15.032638888888894,17.73958333333334,84.82638888888889,17.908333333333335,17.56527777777778,,,,3.6513888888888886,3.186805555555556,1184.0,,0,1,0,0,0,0,0,0
2019-03-30,6.452777777777779,192.54166666666666,4.511805555555554,15.53749999999999,18.136805555555554,83.81944444444444,18.3201388888889,17.948611111111113,,,,5.799305555555556,5.0215277777777745,1183.25,,0,1,0,0,0,0,0,0
2019-03-31,7.267361111111114,163.22916666666666,5.628472222222225,11.42430555555555,15.392361111111121,95.04861111111111,15.504166666666663,15.29791666666668,,,,6.504861111111111,5.934027777777776,1166.3819444444443,,1,0,0,0,0,0,0,0
2019-04-01,3.7847222222222237,170.00694444444446,2.721527777777777,16.41666666666667,15.300694444444437,93.70833333333333,15.426388888888876,15.171527777777774,,,,3.418055555555556,3.009027777777776,1182.8680555555557,,1,0,0,0,0,0,0,0
