,,,,,,,,,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North,North-East,North-West,South-East,South-West,East,South,West
2018,2,2,0,0,0,4,33,-1,4.502777777777776,140.45138888888889,2.7048611111111125,13.438888888888892,14.669444444444443,48.5625,14.83680555555555,14.499999999999996,194.17361111111111,248.88111888111888,48.75,3.4631944444444454,2.8611111111111116,1166.8333333333333,0.0,0,0,1,0,0,0,0,0
2018,2,3,0,0,0,5,34,-1,3.1777777777777785,159.50694444444446,1.8840277777777779,17.412499999999998,16.042361111111106,40.06944444444444,16.24444444444445,15.840972222222227,198.6875,270.40277777777777,42.94444444444444,2.4534722222222234,2.0750000000000006,1181.875,0.0,0,0,1,0,0,0,0,0
2018,2,4,0,0,0,6,35,-1,2.6854166666666663,209.6875,1.708333333333334,15.131944444444448,16.809027777777786,37.88194444444444,17.015277777777776,16.589583333333334,199.98611111111111,282.2986111111111,36.576388888888886,2.203472222222222,1.8638888888888896,1166.548611111111,0.0,0,0,0,0,1,0,0,0
2018,2,5,0,0,0,0,36,-1,3.3791666666666664,165.08333333333334,2.062499999999999,15.593750000000004,17.486111111111125,33.86805555555556,17.711111111111116,17.256944444444443,196.35416666666666,237.00694444444446,53.895833333333336,2.6951388888888888,2.251388888888888,1165.736111111111,0.0,0,0,1,0,0,0,0,0
2018,2,6,0,0,0,1,37,-1,4.100694444444444,140.97222222222223,2.4951388888888877,13.743749999999999,18.618055555555557,31.993055555555557,18.808333333333337,18.4451388888889,164.125,101.15277777777777,88.88888888888889,3.2048611111111116,2.7145833333333327,1182.951388888889,0.0,0,0,1,0,0,0,0,0
2018,2,7,0,0,0,2,38,-1,5.505555555555555,152.77777777777777,3.2395833333333357,13.720833333333326,18.532638888888883,33.729166666666664,18.674999999999994,18.377777777777773,189.56944444444446,193.69444444444446,67.65972222222223,4.068055555555553,3.443055555555556,1182.298611111111,0.0,0,0,1,0,0,0,0,0
2018,2,8,0,0,0,3,39,-1,4.501388888888887,188.94444444444446,2.621527777777778,13.863888888888889,18.66388888888889,32.53472222222222,18.818750000000005,18.509722222222226,160.44444444444446,74.72222222222223,101.75694444444444,3.4118055555555564,2.82013888888889,1166.1527777777778,0.0,0,0,0,0,1,0,0,0
2018,2,9,0,0,0,4,40,-1,2.5937500000000013,186.875,1.577777777777777,18.631250000000012,20.076388888888893,26.78472222222222,20.306250000000002,19.841666666666665,195.30555555555554,207.15277777777777,60.56944444444444,2.118055555555557,1.7923611111111108,1165.4375,0.0,0,0,1,0,0,0,0,0
2018,2,10,0,0,0,5,41,-1,3.465277777777779,210.68055555555554,1.9638888888888895,17.884027777777778,20.861805555555556,34.229166666666664,21.040277777777785,20.684722222222227,166.04166666666666,92.90972222222223,97.46527777777777,2.6215277777777777,2.1548611111111104,1166.0069444444443,0.0,0,0,0,0,1,0,0,0
2018,2,11,0,0,0,6,42,-1,6.9534722222222225,184.35416666666666,3.6583333333333337,18.486111111111114,24.13680555555556,30.79861111111111,24.30972222222222,23.957638888888894,166.10416666666666,88.95833333333333,96.86805555555556,4.813194444444445,3.8993055555555554,1166.8125,0.0,0,0,0,0,1,0,0,0
2018,2,12,0,0,0,0,43,-1,4.634999999999999,79.9,2.6749999999999994,15.94714285714285,19.7992857142857,61.5,19.888571428571424,19.705000000000005,106.86428571428571,14.442857142857143,90.80714285714286,3.4578571428571427,2.84642857142857,1183.8285714285714,0.0,0,1,0,0,0,0,0,0
