,,,,,,,,,TD,RH,RH_1,RH_2,Grad,Grad_1,Grad_3,Grad_2,TDmax_3,TD_3,TDmin_3,TDmax_2,TD_2,TDmin_2,TDmin_1,TDmax_1,TD_1,TDmax,TDmin
2018,2,19,0,0,0,0,50,-1,15.678472222222231,51.49305555555556,46.923611111111114,47.111111111111114,191.85416666666666,190.95138888888889,182.41666666666666,169.51388888888889,17.574305555555558,17.404861111111106,17.222222222222232,16.49166666666666,16.31041666666666,16.149305555555554,15.957638888888884,16.35208333333333,16.14375,15.83958333333333,15.539583333333335
2018,2,20,0,0,0,1,51,-1,16.461111111111116,53.77777777777778,51.49305555555556,46.923611111111114,170.27777777777777,191.85416666666666,169.51388888888889,190.95138888888889,16.49166666666666,16.31041666666666,16.149305555555554,16.35208333333333,16.14375,15.957638888888884,15.539583333333335,15.83958333333333,15.678472222222231,16.595833333333342,16.33750000000001
2018,2,21,0,0,0,2,52,-1,17.28958333333334,44.93055555555556,53.77777777777778,51.49305555555556,192.90972222222223,170.27777777777777,190.95138888888889,191.85416666666666,16.35208333333333,16.14375,15.957638888888884,15.83958333333333,15.678472222222231,15.539583333333335,16.33750000000001,16.595833333333342,16.461111111111116,17.47430555555556,17.106249999999996
2018,2,22,0,0,0,3,53,-1,19.80208333333333,48.298611111111114,44.93055555555556,53.77777777777778,203.27083333333334,192.90972222222223,191.85416666666666,170.27777777777777,15.83958333333333,15.678472222222231,15.539583333333335,16.595833333333342,16.461111111111116,16.33750000000001,17.106249999999996,17.47430555555556,17.28958333333334,19.960416666666667,19.642361111111107
2018,2,23,0,0,0,4,54,-1,17.718749999999993,75.27777777777777,48.298611111111114,44.93055555555556,160.85416666666666,203.27083333333334,170.27777777777777,192.90972222222223,16.595833333333342,16.461111111111116,16.33750000000001,17.47430555555556,17.28958333333334,17.106249999999996,19.642361111111107,19.960416666666667,19.80208333333333,17.822222222222226,17.619444444444454
2018,2,24,0,0,0,5,55,-1,17.702777777777783,63.53472222222222,75.27777777777777,48.298611111111114,232.41666666666666,160.85416666666666,192.90972222222223,203.27083333333334,17.47430555555556,17.28958333333334,17.106249999999996,19.960416666666667,19.80208333333333,19.642361111111107,17.619444444444454,17.822222222222226,17.718749999999993,17.861111111111114,17.561111111111106
2018,2,25,0,0,0,6,56,-1,18.46388888888889,50.47222222222222,63.53472222222222,75.27777777777777,219.02083333333334,232.41666666666666,203.27083333333334,160.85416666666666,19.960416666666667,19.80208333333333,19.642361111111107,17.822222222222226,17.718749999999993,17.619444444444454,17.561111111111106,17.861111111111114,17.702777777777783,18.63402777777777,18.275000000000002
2018,2,26,0,0,0,0,57,-1,19.61527777777777,50.90972222222222,50.47222222222222,63.53472222222222,170.52777777777777,219.02083333333334,160.85416666666666,232.41666666666666,17.822222222222226,17.718749999999993,17.619444444444454,17.861111111111114,17.702777777777783,17.561111111111106,18.275000000000002,18.63402777777777,18.46388888888889,19.76041666666667,19.471527777777773
2018,2,27,0,0,0,1,58,-1,18.14444444444446,52.729166666666664,50.90972222222222,50.47222222222222,165.95833333333334,170.52777777777777,232.41666666666666,219.02083333333334,17.861111111111114,17.702777777777783,17.561111111111106,18.63402777777777,18.46388888888889,18.275000000000002,19.471527777777773,19.76041666666667,19.61527777777777,18.334722222222215,17.96527777777778
2018,2,28,0,0,0,2,59,-1,17.07708333333334,60.201388888888886,52.729166666666664,50.90972222222222,239.47916666666666,165.95833333333334,219.02083333333334,170.52777777777777,18.63402777777777,18.46388888888889,18.275000000000002,19.76041666666667,19.61527777777777,19.471527777777773,17.96527777777778,18.334722222222215,18.14444444444446,17.202777777777786,16.963194444444458
