,,,,,,,,,TD,TDmax_3,TD_3,TDmin_3,TDmax_2,TD_2,TDmin_2,TDmax_1,TDmin_1,TD_1,TDmin,TDmax
2018,3,24,0,0,0,5,83,-1,17.97361111111111,16.729861111111113,16.510416666666664,16.275694444444447,21.181944444444447,20.91111111111111,20.651388888888874,25.05833333333334,24.64305555555556,24.85000000000001,17.772222222222226,18.1861111111111
2018,3,25,0,0,0,6,84,-1,14.313286713286713,21.181944444444447,20.91111111111111,20.651388888888874,25.05833333333334,24.85000000000001,24.64305555555556,18.1861111111111,17.772222222222226,17.97361111111111,14.101398601398602,14.503496503496503
2018,3,26,0,0,0,0,85,-1,20.703472222222217,25.05833333333334,24.85000000000001,24.64305555555556,18.1861111111111,17.97361111111111,17.772222222222226,14.503496503496503,14.101398601398602,14.313286713286713,20.47777777777778,20.902777777777786
2018,3,27,0,0,0,1,86,-1,22.372222222222216,18.1861111111111,17.97361111111111,17.772222222222226,14.503496503496503,14.313286713286713,14.101398601398602,20.902777777777786,20.47777777777778,20.703472222222217,22.174999999999994,22.576388888888882
2018,3,28,0,0,0,2,87,-1,21.93819444444444,14.503496503496503,14.313286713286713,14.101398601398602,20.902777777777786,20.703472222222217,20.47777777777778,22.576388888888882,22.174999999999994,22.372222222222216,21.72500000000001,22.15902777777778
2018,3,29,0,0,0,3,88,-1,16.582638888888898,20.902777777777786,20.703472222222217,20.47777777777778,22.576388888888882,22.372222222222216,22.174999999999994,22.15902777777778,21.72500000000001,21.93819444444444,16.395138888888894,16.788194444444454
2018,3,30,0,0,0,4,89,-1,11.883333333333333,22.576388888888882,22.372222222222216,22.174999999999994,22.15902777777778,21.93819444444444,21.72500000000001,16.788194444444454,16.395138888888894,16.582638888888898,11.813888888888888,11.966666666666667
2018,3,31,0,0,0,5,90,-1,14.375000000000004,22.15902777777778,21.93819444444444,21.72500000000001,16.788194444444454,16.582638888888898,16.395138888888894,11.966666666666667,11.813888888888888,11.883333333333333,14.147916666666667,14.604166666666666
2018,4,1,0,0,0,6,91,-1,18.443055555555553,16.788194444444454,16.582638888888898,16.395138888888894,11.966666666666667,11.883333333333333,11.813888888888888,14.604166666666666,14.147916666666667,14.375000000000004,18.15624999999999,18.71944444444444
2018,4,2,0,0,0,0,92,-1,19.027083333333337,11.966666666666667,11.883333333333333,11.813888888888888,14.604166666666666,14.375000000000004,14.147916666666667,18.71944444444444,18.15624999999999,18.443055555555553,18.75833333333333,19.286111111111104
2018,4,3,0,0,0,1,93,-1,15.282638888888888,14.604166666666666,14.375000000000004,14.147916666666667,18.71944444444444,18.443055555555553,18.15624999999999,19.286111111111104,18.75833333333333,19.027083333333337,15.083333333333343,15.473611111111113
2018,4,4,0,0,0,2,94,-1,19.949305555555547,18.71944444444444,18.443055555555553,18.15624999999999,19.286111111111104,19.027083333333337,18.75833333333333,15.473611111111113,15.083333333333343,15.282638888888888,19.73333333333335,20.17708333333333
2018,4,5,0,0,0,3,95,-1,22.181944444444447,19.286111111111104,19.027083333333337,18.75833333333333,15.473611111111113,15.282638888888888,15.083333333333343,20.17708333333333,19.73333333333335,19.949305555555547,21.997916666666658,22.353472222222226
2018,4,6,0,0,0,4,96,-1,22.78194444444445,15.473611111111113,15.282638888888888,15.083333333333343,20.17708333333333,19.949305555555547,19.73333333333335,22.353472222222226,21.997916666666658,22.181944444444447,22.542361111111106,23.02291666666666
2018,4,7,0,0,0,5,97,-1,23.343055555555555,20.17708333333333,19.949305555555547,19.73333333333335,22.353472222222226,22.181944444444447,21.997916666666658,23.02291666666666,22.542361111111106,22.78194444444445,23.116666666666674,23.590277777777786
2018,4,8,0,0,0,6,98,-1,17.211805555555557,22.353472222222226,22.181944444444447,21.997916666666658,23.02291666666666,22.78194444444445,22.542361111111106,23.590277777777786,23.116666666666674,23.343055555555555,17.084027777777784,17.356944444444437
2018,4,9,0,0,0,0,99,-1,15.299305555555557,23.02291666666666,22.78194444444445,22.542361111111106,23.590277777777786,23.343055555555555,23.116666666666674,17.356944444444437,17.084027777777784,17.211805555555557,15.119444444444444,15.476388888888888
2018,4,10,0,0,0,1,100,-1,13.30555555555556,23.590277777777786,23.343055555555555,23.116666666666674,17.356944444444437,17.211805555555557,17.084027777777784,15.476388888888888,15.119444444444444,15.299305555555557,13.168055555555554,13.445138888888893
2018,4,11,0,0,0,2,101,-1,14.824999999999996,17.356944444444437,17.211805555555557,17.084027777777784,15.476388888888888,15.299305555555557,15.119444444444444,13.445138888888893,13.168055555555554,13.30555555555556,14.64652777777777,15.025694444444452
2018,4,12,0,0,0,3,102,-1,15.923776223776223,15.476388888888888,15.299305555555557,15.119444444444444,13.445138888888893,13.30555555555556,13.168055555555554,15.025694444444452,14.64652777777777,14.824999999999996,15.725874125874126,16.121678321678317
