,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,East,North-East,North,West,South
2019-04-16,3.050000000000002,197.76388888888889,1.6090277777777782,22.666666666666675,14.180555555555557,83.58333333333333,14.36944444444444,14.00972222222222,,,,2.4284722222222217,1.8208333333333337,1181.75,0.001388888888888889,0,0,1,0,0,0,0,0
2019-04-17,3.9208333333333343,204.78472222222223,2.1513888888888903,19.397916666666656,13.649305555555552,81.29166666666667,13.870833333333334,13.438194444444452,,,,3.03611111111111,2.355555555555557,1181.361111111111,0.0,0,0,1,0,0,0,0,0
2019-04-18,3.8520833333333346,199.68055555555554,2.0541666666666663,19.44861111111112,12.988194444444437,76.01388888888889,13.231250000000001,12.753472222222223,,,,3.00486111111111,2.3166666666666664,1182.4097222222222,0.0,0,0,1,0,0,0,0,0
2019-04-19,5.069444444444447,221.29166666666666,2.790972222222222,17.420833333333334,12.734722222222224,76.0,12.940972222222225,12.513888888888893,,,,3.8402777777777795,3.0375000000000005,1166.1875,0.0006944444444444445,0,0,1,0,0,0,0,0
2019-04-20,4.331250000000001,199.35416666666666,2.3756944444444437,20.42361111111111,13.016666666666666,79.49305555555556,13.251388888888894,12.776388888888894,,,,3.342361111111112,2.59375,1181.7430555555557,0.0020833333333333337,0,0,1,0,0,0,0,0
2019-04-21,6.789583333333333,240.1875,3.661111111111113,18.413888888888884,11.082638888888894,72.61805555555556,11.32569444444444,10.842361111111108,,,,5.027777777777777,3.9750000000000005,1182.3541666666667,0.0020833333333333337,0,0,1,0,0,0,0,0
2019-04-22,4.511805555555554,198.6875,2.4208333333333325,18.84444444444444,10.415277777777769,74.35416666666667,10.691666666666663,10.133333333333333,,,,3.4624999999999986,2.6631944444444446,1181.6944444444443,0.0,0,0,1,0,0,0,0,0
2019-04-23,3.202083333333333,193.41666666666666,1.5645833333333339,25.661111111111115,12.106249999999996,74.22222222222223,12.307638888888885,11.904861111111108,,,,2.487500000000001,1.7937500000000002,1182.861111111111,0.0,0,0,1,0,0,0,0,0
2019-04-24,3.3951388888888903,143.44444444444446,1.7375,20.774305555555546,15.108333333333336,64.29861111111111,15.329861111111102,14.881249999999994,,,,2.6527777777777755,1.9527777777777777,1182.1944444444443,0.0,1,0,0,0,0,0,0,0
2019-04-25,3.403472222222221,151.41666666666666,1.7118055555555551,23.184722222222227,17.52986111111111,59.895833333333336,17.741666666666664,17.31597222222222,,,,2.623611111111112,1.9506944444444443,1181.263888888889,0.0,1,0,0,0,0,0,0,0
2019-04-26,3.800694444444445,142.18055555555554,1.9305555555555551,23.18958333333333,18.48333333333333,58.63194444444444,18.703472222222228,18.263194444444448,,,,2.940277777777775,2.1826388888888877,1165.6666666666667,0.0,1,0,0,0,0,0,0,0
2019-04-27,3.189583333333333,207.22222222222223,1.649305555555556,24.200694444444455,18.167361111111113,61.97222222222222,18.386111111111113,17.948611111111106,,,,2.473611111111113,1.8465277777777775,1182.173611111111,0.0,0,0,1,0,0,0,0,0
2019-04-28,2.94375,204.03472222222223,1.5090277777777772,21.151388888888903,18.120979020979025,61.21678321678322,18.351048951048956,17.8993006993007,,,,2.263888888888889,1.7013888888888888,1182.6527777777778,0.0,0,0,1,0,0,0,0,0
2019-04-29,2.7513888888888904,186.02083333333334,1.4374999999999998,25.463888888888903,21.275000000000002,45.666666666666664,21.51944444444445,21.027083333333344,,,,2.2034722222222225,1.6763888888888892,1166.1180555555557,0.0,1,0,0,0,0,0,0,0
2019-04-30,2.802083333333334,203.90277777777777,1.5298611111111118,22.549305555555556,19.8625,54.791666666666664,20.08819444444444,19.62777777777778,,,,2.2423611111111104,1.7277777777777783,1165.4444444444443,0.0,0,0,1,0,0,0,0,0
2019-05-01,2.9132867132867135,158.13286713286712,1.4748251748251746,25.05524475524476,23.493006993006983,43.52447552447553,23.74265734265734,23.24615384615384,,,,2.3139860139860136,1.7265734265734265,1180.8041958041958,0.0,1,0,0,0,0,0,0,0
2019-05-02,3.600694444444445,167.78472222222223,1.8388888888888901,27.32847222222223,22.891666666666673,49.74305555555556,23.159027777777776,22.638194444444444,,,,2.8576388888888893,2.156944444444443,1182.798611111111,0.0,1,0,0,0,0,0,0,0
2019-05-03,3.677083333333335,222.02777777777777,1.897916666666668,25.222916666666674,17.317361111111104,68.08333333333333,17.52083333333334,17.11458333333334,,,,2.7763888888888895,2.108333333333334,1182.375,0.0,0,0,1,0,0,0,0,0
2019-05-04,3.1819444444444445,211.06944444444446,1.517361111111111,30.79930555555556,16.930555555555554,67.14583333333333,17.14861111111112,16.710416666666674,,,,2.3923611111111107,1.7513888888888887,1182.1180555555557,0.0,0,0,1,0,0,0,0,0
2019-05-05,2.9909722222222226,181.36805555555554,1.5840277777777776,22.215277777777782,20.328472222222224,56.763888888888886,20.59375,20.050000000000004,,,,2.386805555555556,1.8166666666666664,1181.5902777777778,0.0,1,0,0,0,0,0,0,0
2019-05-06,4.170138888888889,183.80555555555554,2.1750000000000003,24.994444444444447,23.995833333333344,47.52777777777778,24.245833333333337,23.76736111111113,,,,3.304166666666667,2.502083333333333,1182.0416666666667,0.0,0,0,1,0,0,0,0,0
2019-05-07,4.412500000000001,263.8888888888889,2.2645833333333325,19.11041666666667,17.983333333333327,68.72222222222223,18.19791666666666,17.772222222222226,,,,3.2944444444444434,2.4854166666666666,1181.951388888889,0.0,0,0,1,0,0,0,0,0
2019-05-08,3.4645833333333327,207.39583333333334,1.7270833333333333,27.943055555555553,15.21736111111111,68.45833333333333,15.459027777777774,14.952777777777783,,,,2.6743055555555544,1.9638888888888906,1181.8333333333333,0.0,0,0,1,0,0,0,0,0
2019-05-09,3.658156028368793,209.8581560283688,1.8297872340425527,22.507801418439715,14.465248226950358,68.06382978723404,14.731914893617024,14.20567375886525,,,,2.7468085106382976,2.073758865248226,1166.5531914893618,0.0,0,0,1,0,0,0,0,0
2019-05-10,3.291666666666666,202.27083333333334,1.6340277777777772,24.246527777777764,14.82847222222222,65.8125,15.063194444444441,14.584027777777784,,,,2.4930555555555554,1.8298611111111116,1182.0625,0.0,0,0,1,0,0,0,0,0
2019-05-11,3.0895833333333327,210.02083333333334,1.542361111111111,22.22500000000001,17.402777777777782,56.173611111111114,17.62986111111111,17.166666666666675,,,,2.385416666666666,1.75625,1167.138888888889,0.0,0,0,1,0,0,0,0,0
2019-05-12,3.4305555555555554,203.625,1.7472222222222225,20.293750000000003,20.39305555555557,45.71527777777778,20.65069444444444,20.14305555555555,,,,2.586805555555555,1.935416666666667,1182.9722222222222,0.0,0,0,1,0,0,0,0,0
2019-05-13,3.3361111111111104,210.77777777777777,1.7534722222222219,18.038194444444443,21.942361111111115,42.270833333333336,22.193055555555556,21.704166666666673,,,,2.5173611111111116,1.9430555555555555,1165.8194444444443,0.0,0,0,1,0,0,0,0,0
2019-05-14,3.114583333333333,195.34722222222223,1.6333333333333337,19.986111111111114,22.75416666666667,38.25,22.99791666666666,22.498611111111096,,,,2.411111111111111,1.8312499999999998,1166.1944444444443,0.0,0,0,1,0,0,0,0,0
2019-05-15,2.9388888888888887,205.17361111111111,1.5604166666666663,22.38402777777779,21.793055555555554,50.30555555555556,22.027083333333337,21.554166666666678,,,,2.3062499999999995,1.7694444444444444,1182.0069444444443,0.0,0,0,1,0,0,0,0,0
2019-05-16,3.0944444444444446,207.15277777777777,1.622222222222222,23.76111111111111,23.133333333333326,47.09027777777778,23.384722222222216,22.891666666666666,,,,2.446527777777777,1.8479166666666673,1165.6458333333333,0.0,0,0,1,0,0,0,0,0
2019-05-17,4.232061068702288,213.70229007633588,2.3396946564885504,22.21984732824428,22.74930555555556,50.00694444444444,22.98333333333334,22.511111111111127,,,,3.337404580152672,2.5832061068702297,1075.4885496183206,0.0,0,0,1,0,0,0,0,0
2019-05-18,3.272413793103448,207.94827586206895,1.6543103448275867,24.231896551724148,21.16041666666667,49.71527777777778,21.40694444444445,20.923611111111118,,,,2.501724137931035,1.874137931034483,1392.698275862069,0.0,0,0,1,0,0,0,0,0
2019-05-19,3.265277777777778,216.38888888888889,1.600694444444444,24.347222222222214,18.920833333333334,54.75694444444444,19.14652777777779,18.697222222222223,,,,2.504166666666666,1.8062500000000001,1181.6041666666667,0.0,0,0,1,0,0,0,0,0
2019-05-20,3.298611111111113,213.39583333333334,1.5993055555555555,25.53541666666667,20.229166666666668,64.44444444444444,20.45069444444444,20.00208333333334,,,,2.5020833333333323,1.8173611111111105,1165.375,0.0,0,0,1,0,0,0,0,0
2019-05-21,3.1479166666666663,204.77083333333334,1.5611111111111104,22.649305555555554,22.933333333333326,59.18055555555556,23.183333333333348,22.697222222222234,,,,2.4291666666666654,1.7993055555555548,1166.2083333333333,0.0,0,0,1,0,0,0,0,0
2019-05-22,3.2416666666666654,190.77777777777777,1.7541666666666673,18.88194444444445,26.052777777777766,36.02777777777778,26.293055555555572,25.80763888888891,,,,2.5187499999999994,1.9416666666666669,1182.611111111111,0.0,0,0,1,0,0,0,0,0
2019-05-23,4.519444444444447,135.125,2.631944444444444,16.089583333333326,30.592361111111114,21.9375,30.832638888888898,30.364583333333346,,,,3.573611111111111,2.8569444444444434,1164.9305555555557,0.0,1,0,0,0,0,0,0,0
2019-05-24,3.8722222222222222,208.0625,2.1222222222222222,19.120833333333326,29.904166666666658,31.38888888888889,30.15277777777778,29.644444444444453,,,,3.030555555555556,2.354166666666668,1181.375,0.0,0,0,1,0,0,0,0,0
2019-05-25,3.0520833333333335,241.51388888888889,1.5374999999999999,25.421527777777783,23.012499999999992,66.53472222222223,23.216666666666676,22.797222222222224,,,,2.3361111111111112,1.7208333333333337,1182.6527777777778,0.0,0,0,1,0,0,0,0,0
2019-05-26,3.420138888888888,229.47916666666666,1.6687500000000004,25.141666666666666,20.583333333333325,60.78472222222222,20.825000000000006,20.34305555555558,,,,2.589583333333333,1.875694444444444,1165.1875,0.0,0,0,1,0,0,0,0,0
2019-05-27,3.266666666666669,209.77777777777777,1.6152777777777785,25.711805555555546,20.336805555555554,62.56944444444444,20.570138888888884,20.089583333333348,,,,2.505555555555555,1.8263888888888884,1182.6597222222222,0.0,0,0,1,0,0,0,0,0
2019-05-28,3.1458333333333335,208.67361111111111,1.5736111111111108,27.842361111111124,22.50069444444444,66.82638888888889,22.695138888888884,22.299305555555563,,,,2.415972222222222,1.7847222222222223,1165.2569444444443,0.0,0,0,1,0,0,0,0,0
2019-05-29,3.0159722222222225,210.40972222222223,1.5888888888888895,23.612499999999994,23.99722222222222,63.97222222222222,24.215972222222224,23.777777777777786,,,,2.375694444444444,1.7701388888888894,1182.1458333333333,0.0,0,0,1,0,0,0,0,0
2019-05-30,3.2391304347826093,223.2246376811594,1.6420289855072465,24.75942028985508,25.642361111111093,53.4375,25.8625,25.40694444444445,,,,2.439855072463769,1.8304347826086957,1192.855072463768,0.0,0,0,1,0,0,0,0,0
2019-05-31,3.185416666666667,210.22916666666666,1.6652777777777783,29.6965277777778,24.975694444444443,56.916666666666664,25.186111111111117,24.761805555555565,,,,2.486805555555556,1.8777777777777769,1181.9027777777778,0.0,0,0,1,0,0,0,0,0
2019-06-01,3.2756944444444436,226.16666666666666,1.7194444444444448,22.288194444444446,24.53263888888889,60.263888888888886,24.734027777777776,24.324999999999992,,,,2.5409722222222215,1.9131944444444449,1182.7847222222222,0.0,0,0,1,0,0,0,0,0
2019-06-02,3.2436619718309845,213.8450704225352,1.5950704225352104,29.719014084507045,23.171126760563382,62.07746478873239,23.39366197183097,22.94718309859154,,,,2.4873239436619716,1.8042253521126772,1179.3239436619717,0.0,0,0,1,0,0,0,0,0
2019-06-03,3.7423611111111135,218.56944444444446,1.9368055555555561,22.97152777777777,23.897222222222226,61.15972222222222,24.118055555555557,23.68194444444445,,,,2.8069444444444445,2.155555555555555,1165.5694444444443,0.0,0,0,1,0,0,0,0,0
2019-06-04,4.056944444444446,219.65277777777777,2.0951388888888896,19.889583333333334,25.15625,54.833333333333336,25.35486111111111,24.956249999999997,,,,3.0319444444444437,2.327083333333334,1181.75,0.0,0,0,1,0,0,0,0,0
2019-06-05,4.042361111111113,229.98611111111111,1.9631944444444431,28.106944444444455,26.60763888888888,43.21527777777778,26.825000000000003,26.399999999999995,,,,2.9923611111111117,2.226388888888889,1183.1944444444443,0.0,0,0,1,0,0,0,0,0
