,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,West,South-West,East,North-West,North-East,North,South,South-East
2019-05-30,,,,,27.081944444444442,65.95833333333333,27.273611111111126,26.88055555555553,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-31,,,,,27.43055555555554,64.21527777777777,27.622916666666672,27.22777777777778,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-01,,,,,26.214583333333337,67.05555555555556,26.45694444444444,25.975694444444436,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-02,,,,,25.797887323943655,75.34507042253522,26.0169014084507,25.59859154929578,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-03,,,,,26.83706293706294,72.37062937062937,27.017482517482513,26.65384615384616,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-04,,,,,26.977083333333336,65.32638888888889,27.156249999999996,26.788888888888877,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-05,,,,,27.260416666666675,63.208333333333336,27.430555555555543,27.077083333333324,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-06,,,,,26.0111111111111,73.13194444444444,26.136805555555547,25.890972222222214,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-07,,,,,25.623611111111096,77.1875,25.775694444444447,25.471527777777762,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-08,,,,,25.17291666666667,76.59722222222223,25.314583333333335,25.025,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-09,,,,,24.813888888888883,70.95138888888889,24.99305555555556,24.63194444444444,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-10,,,,,24.41180555555555,70.91666666666667,24.655555555555548,24.18750000000001,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-11,,,,,25.65104895104897,62.25874125874126,25.9076923076923,25.41398601398601,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-12,,,,,26.081250000000004,71.13888888888889,26.274305555555543,25.899305555555564,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-13,,,,,25.785416666666656,67.45138888888889,25.99097222222223,25.572222222222216,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-14,,,,,25.64513888888888,69.84027777777777,25.851388888888877,25.44861111111111,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-15,,,,,25.558333333333323,71.14583333333333,25.76319444444445,25.35625,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-16,,,,,26.15694444444444,69.52777777777777,26.35763888888889,25.959027777777777,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-17,,,,,26.59236111111111,66.5,26.823611111111102,26.38541666666667,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-18,,,,,26.209027777777763,70.34027777777777,26.42013888888888,26.00833333333333,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-19,,,,,26.1486111111111,68.23611111111111,26.37083333333334,25.92152777777777,,,,,,,0.0,1,0,0,0,0,0,0,0,0
