,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,North,South,West,North-East,East
2019-06-05,5.006944444444446,213.24305555555554,2.596527777777777,22.18541666666666,26.02777777777777,77.02777777777777,26.263888888888903,25.785416666666677,,,,3.6236111111111122,2.848611111111111,1165.1527777777778,0.0,0,0,1,0,0,0,0,0
2019-06-06,5.15763888888889,255.66666666666666,2.6166666666666676,23.124305555555555,25.515972222222214,84.13194444444444,25.70347222222223,25.36319444444445,,,,3.775694444444445,2.9131944444444446,1182.6875,0.0,0,0,1,0,0,0,0,0
2019-06-07,4.891666666666667,276.7361111111111,2.3722222222222222,23.95069444444444,24.686111111111117,89.13888888888889,24.906944444444438,24.49166666666667,,,,3.4499999999999984,2.627083333333334,1182.3402777777778,0.0,0,1,0,0,0,0,0,0
2019-06-08,3.2722222222222213,261.6388888888889,1.438194444444444,25.781944444444438,23.871527777777786,87.04166666666667,24.111805555555556,23.63819444444445,,,,2.201388888888889,1.5888888888888886,1181.638888888889,0.0,0,0,1,0,0,0,0,0
2019-06-09,3.1472222222222226,209.80555555555554,1.5020833333333339,23.480555555555565,23.42152777777778,85.92361111111111,23.687499999999993,23.169444444444448,,,,2.229861111111111,1.6631944444444438,1167.6458333333333,0.0,0,0,1,0,0,0,0,0
2019-06-10,2.791666666666666,186.35416666666666,1.4236111111111112,23.243055555555546,25.493750000000002,62.548611111111114,25.781944444444438,25.20138888888889,,,,2.085416666666667,1.59861111111111,1182.4652777777778,0.0,1,0,0,0,0,0,0,0
2019-06-11,3.8300699300699312,188.04895104895104,2.1377622377622383,22.38531468531469,27.179020979020976,53.98601398601399,27.450349650349644,26.907692307692304,,,,2.925174825174825,2.312587412587413,1165.4475524475524,0.0,0,0,1,0,0,0,0,0
2019-06-12,3.354166666666667,243.91666666666666,1.4965277777777775,28.297222222222228,25.37986111111112,85.56944444444444,25.654861111111117,25.11736111111111,,,,2.234027777777778,1.6444444444444437,1165.0416666666667,0.0,0,0,1,0,0,0,0,0
2019-06-13,3.613888888888888,239.29166666666666,1.6694444444444443,24.938194444444445,24.680555555555554,84.22222222222223,24.928472222222236,24.42638888888888,,,,2.5548611111111117,1.8444444444444434,1181.9930555555557,0.0,0,0,1,0,0,0,0,0
2019-06-14,3.604861111111113,215.05555555555554,1.666666666666667,24.66666666666666,24.82499999999999,84.0,25.083333333333346,24.561111111111128,,,,2.525000000000001,1.8277777777777777,1165.4375,0.0,0,0,1,0,0,0,0,0
2019-06-15,3.0020833333333337,203.57638888888889,1.4333333333333327,23.787499999999994,24.64027777777778,83.95833333333333,24.913888888888877,24.363888888888887,,,,2.1256944444444454,1.570833333333333,1182.5833333333333,0.0,0,0,1,0,0,0,0,0
2019-06-16,3.2284722222222233,189.69444444444446,1.5486111111111112,22.645833333333325,25.64305555555556,79.59027777777777,25.893055555555577,25.393055555555552,,,,2.2812500000000018,1.7090277777777774,1166.3680555555557,0.0,0,0,1,0,0,0,0,0
2019-06-17,3.215277777777778,221.95833333333334,1.479166666666667,24.284027777777773,25.587500000000013,85.20138888888889,25.82847222222223,25.340972222222227,,,,2.286805555555556,1.646527777777778,1167.3958333333333,0.0,0,0,1,0,0,0,0,0
2019-06-18,3.121527777777777,210.98611111111111,1.4541666666666666,24.72083333333333,25.454166666666673,85.13194444444444,25.70902777777779,25.203472222222214,,,,2.2284722222222224,1.6104166666666664,1182.8333333333333,0.0,0,0,1,0,0,0,0,0
2019-06-19,2.803472222222223,196.88888888888889,1.2583333333333322,23.92708333333333,25.56805555555557,74.75,25.836805555555557,25.276388888888892,,,,1.942361111111111,1.4055555555555554,1181.861111111111,0.0,0,0,1,0,0,0,0,0
