,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,North,East,West,South-East,South,North-East
2019-05-17,7.626388888888889,226.11805555555554,5.618750000000001,14.394444444444439,29.941666666666656,22.27777777777778,30.17777777777778,29.717361111111114,,,,6.733333333333332,5.968055555555555,1182.326388888889,0.0,0,1,0,0,0,0,0,0
2019-05-18,4.88472222222222,189.70138888888889,3.3020833333333326,14.750694444444443,26.156944444444452,29.34722222222222,26.390972222222224,25.941666666666674,,,,4.229166666666666,3.5777777777777766,1182.5416666666667,0.0,0,1,0,0,0,0,0,0
2019-05-19,5.404166666666667,178.00694444444446,3.7506944444444437,13.62638888888889,26.051388888888887,25.42361111111111,26.279861111111114,25.843750000000007,,,,4.684722222222224,4.018750000000002,1164.0902777777778,0.0,0,1,0,0,0,0,0,0
2019-05-20,4.429166666666668,157.84027777777777,2.86527777777778,16.518055555555563,26.368750000000002,39.854166666666664,26.58541666666667,26.153472222222216,,,,3.784027777777779,3.1027777777777774,1165.4583333333333,0.0,1,0,0,0,0,0,0,0
2019-05-21,3.572222222222222,184.38888888888889,2.438194444444443,15.729166666666666,30.369444444444436,26.40972222222222,30.635416666666654,30.11041666666667,,,,3.1159722222222226,2.675694444444444,1182.3402777777778,0.0,0,1,0,0,0,0,0,0
2019-05-22,4.334027777777778,174.93055555555554,3.1979166666666674,11.799999999999995,33.19305555555556,14.3125,33.405555555555566,32.9534722222222,,,,3.8312499999999994,3.394444444444445,1182.0416666666667,0.0,0,1,0,0,0,0,0,0
2019-05-23,3.9548611111111125,210.79861111111111,2.909722222222222,15.913194444444445,36.061111111111096,10.152777777777779,36.30000000000002,35.80555555555554,,,,3.5715277777777765,3.126388888888888,1183.388888888889,0.0,0,1,0,0,0,0,0,0
2019-05-24,6.264583333333333,218.41666666666666,4.254166666666666,14.395138888888889,36.70625,11.92361111111111,36.933333333333316,36.48333333333331,,,,5.384722222222221,4.643750000000001,1182.1597222222222,0.0,0,1,0,0,0,0,0,0
2019-05-25,5.34236111111111,112.23611111111111,3.5624999999999982,14.906944444444443,29.338194444444444,37.84027777777778,29.577083333333334,29.124305555555566,,,,4.546527777777777,3.8770833333333323,1182.1875,0.0,1,0,0,0,0,0,0,0
2019-05-26,4.688888888888888,103.82638888888889,3.088194444444446,15.65625,26.408333333333328,34.28472222222222,26.64583333333333,26.200694444444434,,,,4.035416666666669,3.4083333333333337,1183.3541666666667,0.0,1,0,0,0,0,0,0,0
2019-05-27,4.578472222222223,155.72222222222223,2.974305555555556,18.513888888888896,27.229861111111106,30.73611111111111,27.44166666666667,27.003472222222232,,,,3.890972222222222,3.2465277777777777,1182.1944444444443,0.0,1,0,0,0,0,0,0,0
2019-05-28,3.457638888888888,183.0,2.1604166666666673,19.238194444444453,28.481944444444455,30.90277777777778,28.7423611111111,28.235416666666662,,,,2.9215277777777775,2.4006944444444454,1182.5277777777778,0.0,0,1,0,0,0,0,0,0
2019-05-29,3.9305555555555554,143.88194444444446,2.573611111111111,16.19513888888888,31.051388888888905,35.06944444444444,31.311111111111114,30.816666666666663,,,,3.3680555555555562,2.8229166666666656,1181.1319444444443,0.0,1,0,0,0,0,0,0,0
2019-05-30,5.315972222222222,179.95833333333334,3.618750000000001,14.724305555555556,35.03333333333335,17.805555555555557,35.26666666666669,34.786805555555546,,,,4.624999999999998,3.927777777777777,1182.8333333333333,0.0,1,0,0,0,0,0,0,0
2019-05-31,4.7944444444444425,197.90972222222223,3.217361111111111,17.60902777777779,34.09930555555557,19.90972222222222,34.35833333333332,33.870138888888874,,,,4.103472222222223,3.54375,1164.826388888889,0.0,0,1,0,0,0,0,0,0
2019-06-01,4.8881944444444425,203.18055555555554,3.338194444444445,17.76041666666666,31.40347222222223,23.01388888888889,31.665972222222226,31.17361111111113,,,,4.207638888888889,3.5958333333333337,1182.2916666666667,0.0,0,1,0,0,0,0,0,0
2019-06-02,4.404225352112677,178.69718309859155,2.8760563380281683,16.980281690140846,30.35915492957747,27.683098591549296,30.614788732394363,30.123239436619713,,,,3.727464788732395,3.153521126760563,1162.7605633802816,0.0,0,1,0,0,0,0,0,0
2019-06-03,3.643055555555555,161.10416666666666,2.2729166666666667,18.89305555555556,31.229861111111106,28.59722222222222,31.47083333333336,31.000000000000007,,,,3.075694444444444,2.5784722222222234,1182.3333333333333,0.0,1,0,0,0,0,0,0,0
2019-06-04,4.68263888888889,162.78472222222223,3.0798611111111103,17.340277777777775,32.616666666666674,25.03472222222222,32.885416666666664,32.394444444444446,,,,3.954861111111111,3.343055555555555,1166.4652777777778,0.0,1,0,0,0,0,0,0,0
2019-06-05,5.561111111111111,181.61111111111111,3.765277777777779,14.499999999999991,32.99652777777777,24.20138888888889,33.23055555555556,32.773611111111094,,,,4.788888888888888,4.086805555555555,1182.6944444444443,0.0,0,1,0,0,0,0,0,0
2019-06-06,5.103472222222221,177.84027777777777,3.3083333333333336,18.53125,33.75486111111112,23.694444444444443,34.000694444444434,33.53055555555557,,,,4.357638888888889,3.6833333333333353,1182.388888888889,0.0,0,1,0,0,0,0,0,0
2019-06-07,7.046527777777778,198.73611111111111,4.833333333333335,16.48958333333334,31.465972222222206,29.729166666666668,31.689583333333342,31.238888888888873,,,,5.979166666666667,5.1402777777777775,1182.75,0.0,0,1,0,0,0,0,0,0
2019-06-08,7.186805555555555,204.54861111111111,5.112499999999999,13.043750000000001,27.880555555555546,48.40972222222222,28.109027777777772,27.670138888888875,,,,6.247222222222222,5.453472222222223,1181.1041666666667,0.0,0,1,0,0,0,0,0,0
2019-06-09,4.235416666666667,157.3125,2.8388888888888886,17.12847222222222,27.933333333333334,40.25694444444444,28.171527777777776,27.708333333333336,,,,3.6777777777777763,3.0805555555555544,1182.7291666666667,0.0,1,0,0,0,0,0,0,0
2019-06-10,4.803472222222225,182.06944444444446,3.187500000000001,16.46875,29.637500000000014,35.9375,29.900694444444454,29.39930555555555,,,,4.145833333333333,3.504861111111111,1181.5555555555557,0.0,0,1,0,0,0,0,0,0
2019-06-11,5.386013986013986,190.65034965034965,3.7776223776223765,13.588111888111891,32.02027972027972,22.636363636363637,32.24895104895105,31.790909090909086,,,,4.695804195804195,4.064335664335666,1166.048951048951,0.0,0,1,0,0,0,0,0,0
2019-06-12,7.513888888888889,221.45833333333334,5.44375,14.586111111111105,30.240972222222215,33.59722222222222,30.484722222222224,30.000694444444427,,,,6.559722222222222,5.782638888888887,1165.701388888889,0.0,0,1,0,0,0,0,0,0
2019-06-13,6.788194444444443,234.70833333333334,4.822916666666667,12.169444444444439,26.783333333333335,50.833333333333336,27.022916666666667,26.566666666666674,,,,5.943055555555554,5.13611111111111,1182.2916666666667,0.0,0,1,0,0,0,0,0,0
2019-06-14,5.563888888888887,204.14583333333334,3.863888888888887,15.28263888888889,27.322222222222223,48.888888888888886,27.55208333333334,27.114583333333336,,,,4.847916666666666,4.186111111111108,1182.0833333333333,0.0,0,1,0,0,0,0,0,0
2019-06-15,4.89652777777778,169.42361111111111,3.2923611111111106,14.693749999999998,27.90555555555555,45.05555555555556,28.113194444444446,27.71041666666665,,,,4.223611111111111,3.6090277777777775,1182.8680555555557,0.0,1,0,0,0,0,0,0,0
2019-06-16,5.243055555555555,201.58333333333334,3.633333333333333,14.72569444444445,29.370138888888896,40.208333333333336,29.58055555555556,29.165972222222212,,,,4.542361111111111,3.918055555555555,1166.3680555555557,0.0,0,1,0,0,0,0,0,0
2019-06-17,5.823611111111108,204.36111111111111,3.9243055555555575,14.056944444444445,29.551388888888887,41.34722222222222,29.76458333333334,29.356250000000003,,,,5.02638888888889,4.205555555555557,1165.236111111111,0.0,0,1,0,0,0,0,0,0
2019-06-18,5.018750000000001,187.66666666666666,3.361111111111111,16.552083333333332,28.581944444444453,43.05555555555556,28.81319444444444,28.373611111111114,,,,4.319444444444444,3.6416666666666657,1182.9583333333333,0.0,0,1,0,0,0,0,0,0
2019-06-19,6.543055555555555,210.84027777777777,4.746527777777778,13.671527777777776,28.890972222222235,41.979166666666664,29.12152777777778,28.68194444444445,,,,5.72152777777778,5.00972222222222,1182.513888888889,0.0,0,1,0,0,0,0,0,0
